address,zip,city,sqft,bed,bath,price,url,latitude,longitude
"1805 E 106th St, Los Angeles, CA 90002",90002,Los Angeles,"1,856",6,3,"$695,000 ",https://www.zillow.com/homedetails/1805-E-106th-St-Los-Angeles-CA-90002/65243204_zpid/,33.940057,-118.240419
"2015 Curtis Ave, Redondo Beach, CA 90278",90278,Redondo Beach,"1,813",5,3,"$1,584,800 ",https://www.zillow.com/homedetails/2015-Curtis-Ave-Redondo-Beach-CA-90278/20405381_zpid/,33.87779,-118.375652
"20036 Community St Unit 72, Winnetka, CA 91306",91306,Winnetka,"1,404",3,2,"$559,000 ",https://www.zillow.com/homedetails/20036-Community-St-UNIT-72-Winnetka-CA-91306/20181654_zpid/,34.221529,-118.570103
"103 La Ronda #103, Tustin, CA 92780",92780,Tustin,"1,320",3,2,"$230,000 ",https://www.zillow.com/homedetails/103-La-Ronda-103-Tustin-CA-92780/61645832_zpid/,33.740382,-117.84088
"11969 Crippen Ave, Adelanto, CA 92301",92301,Adelanto,768,2,1,"$150,000 ",https://www.zillow.com/homedetails/11969-Crippen-Ave-Adelanto-CA-92301/17470376_zpid/,34.586047,-117.403699
"6041 W Avenue K1, Lancaster, CA 93536",93536,Lancaster,"3,031",5,3,"$575,000 ",https://www.zillow.com/homedetails/6041-W-Avenue-K1-Lancaster-CA-93536/89145381_zpid/,34.674436,-118.237877
"6463 Charles Ave, Mira Loma, CA 91752",91752,Mira Loma,"4,200",7,4,"$1,525,000 ",https://www.zillow.com/homedetails/6463-Charles-Ave-Mira-Loma-CA-91752/17813269_zpid/,33.971026,-117.528134
"14468 Ironsides Ln, Helendale, CA 92342",92342,Helendale,"2,985",3,3,"$532,600 ",https://www.zillow.com/homedetails/14468-Ironsides-Ln-Helendale-CA-92342/17472170_zpid/,34.743601,-117.348714
"1943 W Phillips Dr, Pomona, CA 91766",91766,Pomona,"1,540",4,2,"$795,000 ",https://www.zillow.com/homedetails/1943-W-Phillips-Dr-Pomona-CA-91766/21664823_zpid/,34.049306,-117.78947
"22501 Birchcrest, Mission Viejo, CA 92692",92692,Mission Viejo,"3,600",5,5,"$1,700,000 ",https://www.zillow.com/homedetails/22501-Birchcrest-Mission-Viejo-CA-92692/25614639_zpid/,33.63557,-117.633135
"11570 Range View Rd, Mira Loma, CA 91752",91752,Mira Loma,"2,229",4,3,"$650,000 ",https://www.zillow.com/homedetails/11570-Range-View-Rd-Mira-Loma-CA-91752/17815442_zpid/,33.97712,-117.535475
"22034 Antigua, Mission Viejo, CA 92692",92692,Mission Viejo,"1,540",3,3,"$799,000 ",https://www.zillow.com/homedetails/22034-Antigua-Mission-Viejo-CA-92692/2114299733_zpid/,33.642,-117.64261
"19703 E Avenue G, Lancaster, CA 93535",93535,Lancaster,744,1,1,"$165,000 ",https://www.zillow.com/homedetails/19703-E-Avenue-G-Lancaster-CA-93535/20322468_zpid/,34.735366,-117.778511
"1403 N Shirlmar Ave, San Dimas, CA 91773",91773,San Dimas,"2,212",3,3,"$1,990,000 ",https://www.zillow.com/homedetails/1403-N-Shirlmar-Ave-San-Dimas-CA-91773/21651339_zpid/,34.128223,-117.809063
"100 W Midway Dr Unit 223, Anaheim, CA 92805",92805,Anaheim,600,2,1,"$75,000 ",https://www.zillow.com/homedetails/100-W-Midway-Dr-UNIT-223-Anaheim-CA-92805/2076033732_zpid/,33.811092,-117.908269
"40310 173rd St E, Palmdale, CA 93591",93591,Palmdale,"1,143",3,2,"$200,000 ",https://www.zillow.com/homedetails/40310-173rd-St-E-Palmdale-CA-93591/20274783_zpid/,34.614617,-117.820391
"14 Paseo Vespertino Rancho San, Rancho Santa Margarita, CA 92688",92688,Rancho Santa Margarita,"1,498",3,3,"$825,000 ",https://www.zillow.com/homedetails/14-Paseo-Vespertino-Rancho-San-Rancho-Santa-Margarita-CA-92688/2069739305_zpid/,33.618598,-117.61034
"512 Armitos Pl, Diamond Bar, CA 91765",91765,Diamond Bar,"1,339",3,2,"$925,000 ",https://www.zillow.com/homedetails/512-Armitos-Pl-Diamond-Bar-CA-91765/21488727_zpid/,34.021974,-117.787983
"23663 Meadcliff Pl, Diamond Bar, CA 91765",91765,Diamond Bar,"2,810",4,3,"$1,250,000 ",https://www.zillow.com/homedetails/23663-Meadcliff-Pl-Diamond-Bar-CA-91765/21489201_zpid/,34.019181,-117.800726
"4051 Larchwood Pl, Riverside, CA 92506",92506,Riverside,"1,608",3,2,"$505,000 ",https://www.zillow.com/homedetails/4051-Larchwood-Pl-Riverside-CA-92506/17841625_zpid/,33.971454,-117.388846
"13657 Nassau Dr, Victorville, CA 92395",92395,Victorville,"1,200",1,2,"$150,000 ",https://www.zillow.com/homedetails/13657-Nassau-Dr-Victorville-CA-92395/17633908_zpid/,34.498957,-117.320663
"16055 Washington St, Riverside, CA 92504",92504,Riverside,"3,000",4,3,"$849,900 ",https://www.zillow.com/homedetails/16055-Washington-St-Riverside-CA-92504/17881429_zpid/,33.886351,-117.36706
"15362 Orange Ave, Paramount, CA 90723",90723,Paramount,"1,366",3,2,"$520,000 ",https://www.zillow.com/homedetails/15362-Orange-Ave-Paramount-CA-90723/21043767_zpid/,33.892894,-118.176864
"1524 Esparza Ct, Pomona, CA 91766",91766,Pomona,"2,476",5,3,"$700,000 ",https://www.zillow.com/homedetails/1524-Esparza-Ct-Pomona-CA-91766/79800746_zpid/,34.042748,-117.76237
"153 Granada St, Tustin, CA 92780",92780,Tustin,"1,440",4,2,"$194,999 ",https://www.zillow.com/homedetails/153-Granada-St-Tustin-CA-92780/59729462_zpid/,33.727721,-117.809294
"20806 S Gridley Rd #8, Lakewood, CA 90715",90715,Lakewood,"1,214",3,2,"$195,000 ",https://www.zillow.com/homedetails/20806-S-Gridley-Rd-8-Lakewood-CA-90715/2071118107_zpid/,33.8406,-118.090003
"27836 Country Lane Rd, Laguna Niguel, CA 92677",92677,Laguna Niguel,"2,067",3,3,"$1,348,000 ",https://www.zillow.com/homedetails/27836-Country-Lane-Rd-Laguna-Niguel-CA-92677/25552214_zpid/,33.558579,-117.698888
"1464 W 25th St, Los Angeles, CA 90007",90007,Los Angeles,"3,025",8,5,"$999,000 ",https://www.zillow.com/homedetails/1464-W-25th-St-Los-Angeles-CA-90007/2086677940_zpid/,34.03356,-118.29289
"3524 La Castellet Ct, San Jose, CA 95148",95148,San Jose,"3,718",5,5,"$2,554,100 ",https://www.zillow.com/homedetails/3524-La-Castellet-Ct-San-Jose-CA-95148/82962614_zpid/,37.339108,-121.861856
"27042 Via Grande, Mission Viejo, CA 92691",92691,Mission Viejo,"3,288",7,4,"$1,395,000 ",https://www.zillow.com/homedetails/27042-Via-Grande-Mission-Viejo-CA-92691/25603259_zpid/,37.317942,-121.767644
"1626 Carmel Cir E, Upland, CA 91784",91784,Upland,"1,670",3,2,"$548,000 ",https://www.zillow.com/homedetails/1626-Carmel-Cir-E-Upland-CA-91784/17516221_zpid/,33.569893,-117.670747
"5729 Mapleview Dr, Riverside, CA 92509",92509,Riverside,"1,703",3,3,"$539,900 ",https://www.zillow.com/homedetails/5729-Mapleview-Dr-Riverside-CA-92509/69291881_zpid/,34.463008,-117.241801
"45141 Willowick St, Temecula, CA 92592",92592,Temecula,"3,747",4,3,"$888,000 ",https://www.zillow.com/homedetails/45141-Willowick-St-Temecula-CA-92592/61304070_zpid/,33.964534,-116.948051
"11401 Topanga Canyon Blvd Space 36, Chatsworth, CA 91311",91311,Chatsworth,"1,152",2,2,"$200,000 ",https://www.zillow.com/homedetails/11401-Topanga-Canyon-Blvd-SPACE-36-Chatsworth-CA-91311/136688338_zpid/,33.470146,-117.08929
"1935 Alpha Rd, Glendale, CA 91208",91208,Glendale,810,1,1,"$459,000 ",https://www.zillow.com/homedetails/1935-Alpha-Rd-Glendale-CA-91208/2104027168_zpid/,34.273151,-118.604579
"711-715 E 7th Ave #15-711-13, Escondido, CA 92025",92025,Escondido,"4,280",9,6,"$1,379,000 ",https://www.zillow.com/homedetails/711-715-E-7th-Ave-15-711-13-Escondido-CA-92025/2068551317_zpid/,33.748603,-116.888526
"52805 Idyllmont Rd, Idyllwild, CA 92549",92549,Idyllwild,"2,300",3,2,"$787,000 ",https://www.zillow.com/homedetails/52805-Idyllmont-Rd-Idyllwild-CA-92549/18045637_zpid/,33.219358,-117.33126
"381 Echo Ct, San Bernardino, CA 92404",92404,San Bernardino,"2,000",4,2,"$545,000 ",https://www.zillow.com/homedetails/381-Echo-Ct-San-Bernardino-CA-92404/17244947_zpid/,33.732104,-116.739285
"33 Weiss Dr, South El Monte, CA 91733",91733,South El Monte,"1,865",3,4,"$629,000 ",https://www.zillow.com/homedetails/33-Weiss-Dr-South-El-Monte-CA-91733/136391117_zpid/,34.16075,-117.27715
"45465 25th St E Space 302, Lancaster, CA 93535",93535,Lancaster,"1,488",3,2,"$149,000 ",https://www.zillow.com/homedetails/45465-25th-St-E-SPACE-302-Lancaster-CA-93535/250350231_zpid/,34.25958,-116.860247
"4040 Piedmont Dr Space 316, Highland, CA 92346",92346,Highland,"1,232",2,2,"$173,500 ",https://www.zillow.com/homedetails/4040-Piedmont-Dr-SPACE-316-Highland-CA-92346/82917896_zpid/,34.711274,-118.090267
"226 S Lafayette Park Pl #a, Los Angeles, CA 90057",90057,Los Angeles,"1,668",3,3,"$680,000 ",https://www.zillow.com/homedetails/226-S-Lafayette-Park-Pl-A-Los-Angeles-CA-90057/20626800_zpid/,34.143754,-117.197098
"23230 N Cardinal Rd, Wrightwood, CA 92397",92397,Wrightwood,"1,812",3,2,"$651,000 ",https://www.zillow.com/homedetails/23230-N-Cardinal-Rd-Wrightwood-CA-92397/20273193_zpid/,34.068351,-118.279473
"10829 Huston St, North Hollywood, CA 91601",91601,North Hollywood,"1,681",4,2,"$1,275,000 ",https://www.zillow.com/homedetails/10829-Huston-St-North-Hollywood-CA-91601/20042776_zpid/,34.359802,-117.652905
"7301 Braeburn St, Anaheim, CA 92801",92801,Anaheim,"1,659",4,2,"$780,000 ",https://www.zillow.com/homedetails/7301-Braeburn-St-Anaheim-CA-92801/25155556_zpid/,34.160179,-118.366976
"45541 30th St E Spc 23, Lancaster, CA 93535",93535,Lancaster,"1,600",2,1,"$147,770 ",https://www.zillow.com/homedetails/45541-30th-St-E-SPC-23-Lancaster-CA-93535/2089304342_zpid/,33.854579,-117.970691
"22612 Archwood St, West Hills, CA 91307",91307,West Hills,"2,404",5,3,"$1,399,000 ",https://www.zillow.com/homedetails/22612-Archwood-St-West-Hills-CA-91307/19876667_zpid/,33.746394,-116.960309
"33421 Ocean Hill Dr, Dana Point, CA 92629",92629,Dana Point,"2,420",4,2,"$1,699,000 ",https://www.zillow.com/homedetails/33421-Ocean-Hill-Dr-Dana-Point-CA-92629/25585249_zpid/,34.192089,-118.619282
"7835 Lupine Rd, Saugus, CA 91390",91390,Saugus,"2,587",3,3,"$949,500 ",https://www.zillow.com/homedetails/7835-Lupine-Rd-Saugus-CA-91390/20313551_zpid/,33.47706,-117.69071
"32134 Bandelier Rd, Winchester, CA 92596",92596,Winchester,"3,159",4,3,"$708,000 ",https://www.zillow.com/homedetails/32134-Bandelier-Rd-Winchester-CA-92596/64832975_zpid/,34.516483,-118.272305
"1621 S Patton Ave, San Pedro, CA 90731",90731,San Pedro,"1,646",3,2,"$961,000 ",https://www.zillow.com/homedetails/1621-S-Patton-Ave-San-Pedro-CA-90731/21310045_zpid/,33.60266,-117.098746
"27071 Calle Dolores, Capistrano Beach, CA 92624",92624,Capistrano Beach,875,2,1,"$925,000 ",https://www.zillow.com/homedetails/27071-Calle-Dolores-Capistrano-Beach-CA-92624/25597742_zpid/,33.72914,-118.305922
"5096 Llano Dr, Woodland Hills, CA 91364",91364,Woodland Hills,"5,500",6,7,"$1,950,000 ",https://www.zillow.com/homedetails/5096-Llano-Dr-Woodland-Hills-CA-91364/19943615_zpid/,33.458432,-117.657706
"10550 Western Ave Space 3, Stanton, CA 90680",90680,Stanton,"1,344",3,2,"$95,500 ",https://www.zillow.com/homedetails/10550-Western-Ave-SPACE-3-Stanton-CA-90680/137265304_zpid/,34.161571,-118.609029
"9250 Del Arroyo Dr, Sun Valley, CA 91352",91352,Sun Valley,"1,110",4,3,"$1,275,000 ",https://www.zillow.com/homedetails/9250-Del-Arroyo-Dr-Sun-Valley-CA-91352/20089774_zpid/,33.808918,-118.000191
"199 N Hermosa Ave, Sierra Madre, CA 91024",91024,Sierra Madre,"2,007",4,3,"$1,360,000 ",https://www.zillow.com/homedetails/199-N-Hermosa-Ave-Sierra-Madre-CA-91024/20885572_zpid/,34.234449,-118.344713
"33330 Elizabeth Rd, Temecula, CA 92592",92592,Temecula,"3,298",5,3,"$899,000 ",https://www.zillow.com/homedetails/33330-Elizabeth-Rd-Temecula-CA-92592/2094170126_zpid/,34.865573,-118.23037
